N-Gram_ID,RoughPOS_N-Gram,DetailedPOS_N-Gram,N-Gram,Lemma_N-Gram
000188,PR.* NN.*_PM.*,PRSP_CCP NNC_PMP,kanilang baranggay.,kanilang baranggay.
000254,JJ.* NN.*_PM.*,JJD_CCP NNC_PMC,"simpleng empleyado,",simpleng empleyado
000363,NN.* JJ.*_PM.*,NNC_CCP JJD_PMC,"wikang pambansa,",wikang pambansa
000383,NN.* PR.*_PM.*,NNC_CCP PRO_PMP,taong ito.,taong ito.
000481,PR.* NN.*_PM.*,PRO_CCP NNP_PMC,"nitong Hulyo,",nitong Hulyo
000504,RB.* NN.*_PM.*,RBW_CCP NNP_PMP,noong Hunyo.,noong Hunyo.
000543,LM JJ.*_PM.*,LM JJCS_JJD_PMC,"ay napakahalaga,",ay napakahalaga
000619,NN.* PR.*_PM.*,NNC_CCP PRO_PMQ,kantang ito?,kantang ito?
000695,CC.* VB.*_PM.*,CCR VBTR_VBAF_PMC,"kapag kumakanta,",kapag kumakanta
000707,NN.* PR.*_PM.*,NNC_CCP PRO_PMQ,kantang ito?,kantang ito?
000742,PR.* VB.*_PM.*,PRP_CCP VBW_PMP,naming magsaya.,naming magsaya.
000912,VB.* NN.*_PM.*,VBTS_CCP NNC_PMP,ipinakitang mukha.,ipinakitang mukha.
001012,NN.* PR.*_PM.*,NNC_CCP PRO_PMP,kantang ito.,kantang ito.
001164,PR.* NN.*_PM.*,PRSP_CCP NNC_PMP,aming promosyon.,aming promosyon.
001310,VB.* JJ.*_PM.*,VBN_CCP JJD_CCP_PMQ,walang karagdagang!,walang karagdagang!
001375,DT.* JJ.*_PM.*,DTCP JJD_CCP_PMQ,mga bagong!,mga bagong!
001538,PR.* NN.*_PM.*,PRI_CCP NNC_PMP,isang trabaho.,isang trabaho.
001581,VB.* NN.*_PM.*,VBTS_CCP NNC_PMP,nasabing proyekto.,nasabing proyekto.
001681,PR.* VB.*_PM.*_PM.*,PRS VBTF_PMC_PMS,"siya iiwan,","siya iiwan,"
001685,PM.*_ VB.*,PMS_ VBTR_CCP,Nanghinayang ako,Nanghinayang ako
001697,PR.* NN.*_PM.*,PRI_CCP NNC_PMC,"isang teleserye,",isang teleserye
001740,PR.* NN.*_PM.*,PRQ_CCP NNC_PMP,ilang beses.,ilang beses.
001798,VB.* NN.*_PM.*,VBN_CCP NNC_PMP,walang bayad.,walang bayad.
002092,NN.* PR.*_PM.*,NNC PRI_CCP_PMC,"layunin ibang,",layunin ibang
002228,PR.* NN.*_PM.*,PRI_CCP NNP_PMC,"Isang Pelikula,",Isang Pelikula
002951,JJ.* NN.*,JJCS_JJD_CCP NNC,Pinakamalalang kaso,Pinakamalalang kaso
003083,PR.* NN.*_PM.*,PRS_CCP NNC_PMP,niyang lakas.,niyang lakas.
003147,PR.* NN.*_PM.*,PRSP_CCP NNC_PMP,kanyang ina.,kanyang ina.
003196,PR.* NN.*_PM.*,PRSP_CCP NNC_PMC,"kanilang datos,",kanilang datos
003200,PR.* NN.*_PM.*,PRSP_CCP NNC_PMS,kanilang lugar!,kanilang lugar!
003627,JJ.* NN.*,JJCS_JJD_CCP NNC,Pinakamalalang kaso,Pinakamalalang kaso
003691,PR.* NN.*_PM.*,PRI_CCP NNC_PMP,isang punto.,isang punto.
003711,JJ.* NN.*_PM.*,JJD_CCP NNC_PMC,"modernong teknolohiya,",modernong teknolohiya
003748,JJ.* NN.*_PM.*,JJD_CCP NNC_PMC,"panghaliling daan,",panghaliling daan
003768,JJ.* NN.*_PM.*,JJD_CCP NNC_PMP,panghaliling daan.,panghaliling daan.
003850,PR.* VB.*_PM.*,PRSP_CCP VBTR_PMC,"iyong ginagawa,",iyong ginagawa
003927,VB.* NN.*_PM.*,VBTR_CCP NNC_PMC,"naiibang pagsasaayos,",naiibang pagsasaayos
004100,LM VB.*_PM.*,LM VBTR_CCP_PMC,"ay tinatayang,",ay tinatayang
004189,JJ.* NN.*_PM.*,JJD_CCP NNC_PMC,"magagandang hitsura,",magagandang hitsura
004309,PR.* NN.*_PM.*,PRSP_CCP NNC_PMP,aking ina.,aking ina.
004359,DT.* JJ.*,DTC JJCS_JJD_CCP,ang pinakamasayang,ang pinakamasayang
004360,JJ.* NN.*,JJCS_JJD_CCP NNC,pinakamasayang araw,pinakamasayang araw
004437,PR.* NN.*_PM.*,PRSP_CCP NNC_PMP,kanyang lalamunan.,kanyang lalamunan.
004839,RB.* NN.*_PM.*,RBW_CCP NNC_PMC,talumpati ngayong,talumpati ngayong
004964,PR.* NN.*_PM.*,PRSP_CCP NNC_PMP,kanyang papa.,kanyang papa.
005010,PR.* VB.*_PM.*,PRSP_CCP VBTS_VBOF_PMC,"kanyang hinangaan,",kanyang hinangaan
005016,JJ.* NN.*_PM.*,JJD_CCP NNC_PMP,maamong mukha.,maamong mukha.
005106,VB.* PR.*_PM.*,VBTF_VBOF PRP_PMP,kukunin ninyo.,kukunin ninyo.
005172,JJ.* NN.*_PM.*,JJD_CCP NNC_PMP,karagdagang termino.,karagdagang termino.
005195,PR.* NN.*_PM.*,PRSP_CCP NNC_PMP,kanyang sarili.,kanyang sarili.
005279,VB.* NN.*_PM.*,VBN_CCP NNC_PMP,walang pagpapatunay.,walang pagpapatunay.
005354,VB.* NN.*_PM.*,VBN_CCP NNC_PMP,walang bayad.,walang bayad.
005401,PR.* NN.*_PM.*,PRSP_CCP NNC_PMP,iyong lagda.,iyong lagda.
