N-Gram_ID,RoughPOS_N-Gram,DetailedPOS_N-Gram,N-Gram,Lemma_N-Gram
000025,VB.* PR.* CC.* NN.* RB.* CC.* CC.*,VBN PRS CCT NNC RBW CCR CCT,wala ako sa katinuan ngayon kasi para,wala ako sa katinuan ngayon kasi para
000026,PR.* CC.* NN.* RB.* CC.* CC.* PR.*,PRS CCT NNC RBW CCR CCT PRS_CCP,ako sa katinuan ngayon kasi para akong,ako sa katinuan ngayon kasi para akong
000027,CC.* NN.* RB.* CC.* CC.* PR.* VB.*,CCT NNC RBW CCR CCT PRS_CCP VBTS,sa katinuan ngayon kasi para akong nakawalang,sa katinuan ngayon kasi para akong nakawalang
000028,NN.* RB.* CC.* CC.* PR.* VB.* CC.*,NNC RBW CCR CCT PRS_CCP VBTS CCT,katinuan ngayon kasi para akong nakawalang sa,katinuan ngayon kasi para akong nakawalang sa
000029,RB.* CC.* CC.* PR.* VB.* CC.* NN.*_PM.*,RBW CCR CCT PRS_CCP VBTS CCT NNC_PMP,ngayon kasi para akong nakawalang sa hawla.,ngayon kasi para akong nakawalang sa hawla.
000074,RB.* RB.* DT.* NN.* NN.* LM JJ.*,RBK RBQ DTC NNC NNC LM JJD,Kung ano ang kapaligiran kadahilanan ay partikular,Kung ano ang kapaligiran kadahilanan ay partikular
000075,RB.* DT.* NN.* NN.* LM JJ.* CC.*,RBQ DTC NNC NNC LM JJD CCP,ano ang kapaligiran kadahilanan ay partikular na,ano ang kapaligiran kadahilanan ay partikular na
000076,DT.* NN.* NN.* LM JJ.* CC.* JJ.*,DTC NNC NNC LM JJD CCP JJD,ang kapaligiran kadahilanan ay partikular na mahalaga,ang kapaligiran kadahilanan ay partikular na mahalaga
000077,NN.* NN.* LM JJ.* CC.* JJ.* CC.*,NNC NNC LM JJD CCP JJD CCT,kapaligiran kadahilanan ay partikular na mahalaga para,kapaligiran kadahilanan ay partikular na mahalaga para
000078,NN.* LM JJ.* CC.* JJ.* CC.* CC.*,NNC LM JJD CCP JJD CCT CCT,kadahilanan ay partikular na mahalaga para sa,kadahilanan ay partikular na mahalaga para sa
000079,LM JJ.* CC.* JJ.* CC.* CC.* NN.*,LM JJD CCP JJD CCT CCT NNC,ay partikular na mahalaga para sa buhay,ay partikular na mahalaga para sa buhay
000080,JJ.* CC.* JJ.* CC.* CC.* NN.* CC.*,JJD CCP JJD CCT CCT NNC CCB,partikular na mahalaga para sa buhay ng,partikular na mahalaga para sa buhay ng
000081,CC.* JJ.* CC.* CC.* NN.* CC.* DT.*,CCP JJD CCT CCT NNC CCB DTCP,na mahalaga para sa buhay ng mga,na mahalaga para sa buhay ng mga
000082,JJ.* CC.* CC.* NN.* CC.* DT.* NN.*,JJD CCT CCT NNC CCB DTCP NNC,mahalaga para sa buhay ng mga parasito,mahalaga para sa buhay ng mga parasito
000083,CC.* CC.* NN.* CC.* DT.* NN.* VB.*,CCT CCT NNC CCB DTCP NNC VBTR,para sa buhay ng mga parasito aalala,para sa buhay ng mga parasito aalala
000084,CC.* NN.* CC.* DT.* NN.* VB.* RB.*,CCT NNC CCB DTCP NNC VBTR RBR,sa buhay ng mga parasito aalala tungkol,sa buhay ng mga parasito aalala tungkol
000085,NN.* CC.* DT.* NN.* VB.* RB.* CC.*,NNC CCB DTCP NNC VBTR RBR CCT,buhay ng mga parasito aalala tungkol sa,buhay ng mga parasito aalala tungkol sa
000086,CC.* DT.* NN.* VB.* RB.* CC.* DT.*,CCB DTCP NNC VBTR RBR CCT DTCP,ng mga parasito aalala tungkol sa mga,ng mga parasito aalala tungkol sa mga
